attempt_id,user_id,tau_hat,ev_suppressed
ATT_2be0667e96,U_10a11fd7b7,0.13485662144559685,False
ATT_fb74357361,U_10a11fd7b7,0.11026805472587714,False
ATT_bbb1a68232,U_10a11fd7b7,0.1702121401177187,False
ATT_705cb526b1,U_a92b3e924e,0.050616667308727104,False
ATT_c4c67d1571,U_a92b3e924e,0.03822082310023811,False
ATT_024cb15d96,U_f5f444dc64,-0.1490996708115499,True
ATT_2fb6de9897,U_f5f444dc64,0.15550618129530705,False
ATT_217b62df88,U_f5f444dc64,-0.0027407985122332446,True
ATT_8a5b2b4707,U_f5f444dc64,0.06410878757220151,False
ATT_2f34b0c9ab,U_f5f444dc64,0.01690574463057412,False
ATT_30bccbabb9,U_f5f444dc64,0.020691315099466256,False
ATT_743c183c06,U_f5f444dc64,-0.006761570106727399,True
ATT_8bb73b85b3,U_f5f444dc64,-0.04542368526735896,True
ATT_9483fe3868,U_f5f444dc64,-0.0757002355151899,True
ATT_229ea6e679,U_f5f444dc64,0.048014462445013006,False
ATT_4a1facf510,U_f4c9a503e4,0.05772901275433817,False
ATT_47cc7ac562,U_f4c9a503e4,0.07982016641477369,False
ATT_9266bf9e14,U_f4c9a503e4,0.13114356031080704,False
ATT_402ef36017,U_f4c9a503e4,0.1924504125569045,False
ATT_9d8eaf6764,U_f4c9a503e4,0.2732499281325691,False
ATT_f230c40366,U_f4c9a503e4,0.051909819955921754,False
ATT_72da8c9d86,U_f4c9a503e4,0.10117465064861159,False
ATT_7ee7111e5d,U_f4c9a503e4,0.22265441503761724,False
ATT_6a394301ca,U_f4c9a503e4,0.05794479923165924,False
ATT_761a56e5d6,U_f4c9a503e4,0.11379171665260868,False
ATT_f85a56a9eb,U_1a2965c880,0.16774091729681684,False
ATT_1bf9aa40f7,U_1a2965c880,0.13358488048154993,False
ATT_1fdcdb96c9,U_1a2965c880,0.0803966648162438,False
ATT_4d12f62136,U_1a2965c880,0.06202495076887049,False
