user_id,cohort_id_true,entity_type,home_country,psp_id,issuer_id,issuer_intl_live,psp_intl_supported,intl_toggle_status,first_seen_date,risk_tier,fx_elasticity_true,nudge_receptivity_true,baseline_propensity_true,tau_true,consent_profiling,consent_location,consent_marketing,direction
U_68ce2f7215,O-1,RESIDENT,IN,GPAY,ISSUER_10,True,True,ON,2026-07-05,STD,0.711,0.241,0.366,-0.031,True,True,False,OUT
U_fa624bccc8,O-3,RESIDENT,IN,PHONEPE,ISSUER_01,False,True,OFF,2026-03-16,STD,0.444,0.211,0.21,0.084,True,True,False,OUT
U_448f13a86a,O-1,RESIDENT,IN,PHONEPE,ISSUER_08,True,True,ON,2025-06-25,STD,0.28,0.201,0.074,0.133,True,True,True,OUT
U_78c5a8b724,O-3,RESIDENT,IN,BHIM,ISSUER_05,True,True,ON,2025-05-28,STD,0.309,0.169,0.319,-0.051,True,False,True,OUT
U_8cb2a84baa,O-4,RESIDENT,IN,PHONEPE,ISSUER_04,True,True,ON,2025-08-04,STD,0.362,0.089,0.221,0.218,True,True,False,OUT
U_afac4a04f8,O-6,RESIDENT,IN,BHIM,ISSUER_10,False,False,OFF,2024-09-30,STD,0.14,0.255,0.095,0.139,True,True,True,OUT
U_10a11fd7b7,O-3,RESIDENT,IN,PHONEPE,ISSUER_01,True,True,OFF,2025-12-26,STD,0.4,0.182,0.252,-0.005,True,True,False,OUT
U_2ccd4647bb,O-2,RESIDENT,IN,GPAY,ISSUER_11,True,True,OFF,2024-10-19,STD,0.155,-0.054,0.668,-0.15,False,True,True,OUT
U_a92b3e924e,O-1,RESIDENT,IN,PHONEPE,ISSUER_08,False,True,ON,2024-08-21,STD,0.613,0.315,0.12,-0.15,False,True,False,OUT
U_dc69a9ed14,O-5,RESIDENT,IN,PHONEPE,ISSUER_11,True,True,OFF,2025-09-27,STD,0.694,-0.034,0.333,-0.131,True,True,True,OUT
U_9726b72637,O-6,RESIDENT,IN,PHONEPE,ISSUER_06,False,False,OFF,2026-07-11,STD,0.478,0.015,0.244,0.035,True,False,False,OUT
U_f5f444dc64,O-2,RESIDENT,IN,PHONEPE,ISSUER_07,True,True,ON,2025-05-17,STD,0.762,0.418,0.371,0.014,False,False,False,OUT
U_25425d85db,O-6,RESIDENT,IN,BHIM,ISSUER_01,False,True,OFF,2025-10-13,STD,0.274,0.275,0.181,-0.15,True,False,False,OUT
U_f4c9a503e4,O-2,RESIDENT,IN,PHONEPE,ISSUER_11,True,True,OFF,2025-01-21,STD,0.483,-0.005,0.32,-0.15,True,True,False,OUT
U_3c847d9274,O-2,RESIDENT,IN,BHIM,ISSUER_04,True,True,ON,2026-04-01,STD,0.874,0.298,0.325,-0.017,True,True,False,OUT
U_1a2965c880,O-4,RESIDENT,IN,BHIM,ISSUER_07,True,True,ON,2024-11-26,ELEVATED,0.49,0.006,0.267,0.415,True,False,True,OUT
U_29c3498d97,O-5,RESIDENT,IN,BHIM,ISSUER_09,True,True,OFF,2025-06-05,STD,0.466,0.2,0.024,-0.037,True,False,True,OUT
U_10b6b121e9,O-5,RESIDENT,IN,PHONEPE,ISSUER_05,True,True,ON,2025-06-22,STD,0.319,-0.164,0.314,-0.145,True,True,False,OUT
U_fd04329b52,O-2,RESIDENT,IN,GPAY,ISSUER_07,True,True,ON,2025-01-20,STD,0.719,-0.026,0.375,-0.15,True,False,True,OUT
U_1e33acf6f2,O-1,RESIDENT,IN,BHIM,ISSUER_10,True,True,ON,2025-08-07,STD,0.398,0.39,0.415,-0.055,False,True,False,OUT
U_9f0c0e15b9,O-6,RESIDENT,IN,BHIM,ISSUER_04,True,False,OFF,2025-01-13,STD,0.509,0.282,0.272,0.007,False,False,False,OUT
U_9f1a8645df,O-6,RESIDENT,IN,PHONEPE,ISSUER_01,False,False,OFF,2025-07-31,STD,0.921,-0.022,0.872,-0.15,True,True,True,OUT
U_f6568ebeb6,O-4,RESIDENT,IN,GPAY,ISSUER_12,True,True,OFF,2025-12-28,STD,0.17,0.119,0.161,-0.047,True,True,False,OUT
U_8f0591f34a,O-6,RESIDENT,IN,GPAY,ISSUER_10,True,True,OFF,2026-02-27,STD,0.391,0.135,0.324,-0.15,True,True,False,OUT
U_90f28c5ac2,O-2,RESIDENT,IN,BHIM,ISSUER_01,False,True,ON,2025-07-16,STD,0.3,0.393,0.066,-0.045,True,False,False,OUT
U_f69d6990da,O-1,RESIDENT,IN,PHONEPE,ISSUER_09,True,True,ON,2025-12-07,STD,0.155,0.059,0.044,-0.015,True,False,True,OUT
U_fc82457e3d,O-2,RESIDENT,IN,PHONEPE,ISSUER_09,True,True,OFF,2025-03-10,ELEVATED,0.299,0.175,0.125,-0.12,False,True,False,OUT
U_6862766015,O-2,RESIDENT,IN,BHIM,ISSUER_10,True,True,OFF,2024-11-15,STD,0.768,-0.075,0.295,0.098,True,True,True,OUT
U_b8fdcc0e10,O-6,RESIDENT,IN,BHIM,ISSUER_11,False,False,OFF,2025-07-16,STD,0.581,0.114,0.264,0.139,False,True,True,OUT
U_0b23ae4d04,O-4,RESIDENT,IN,PHONEPE,ISSUER_02,True,True,ON,2025-03-02,STD,0.835,0.001,0.27,0.025,True,False,True,OUT
U_9666c92b9f,O-5,RESIDENT,IN,BHIM,ISSUER_11,True,True,OFF,2025-10-21,STD,0.465,-0.084,0.624,0.033,True,True,False,OUT
U_c36c23baca,O-5,RESIDENT,IN,BHIM,ISSUER_03,True,True,ON,2026-04-29,STD,0.627,0.147,0.221,-0.134,True,True,True,OUT
U_cd32fe4df2,O-1,RESIDENT,IN,PHONEPE,ISSUER_01,True,True,ON,2025-02-28,STD,0.671,-0.188,0.656,-0.094,True,False,False,OUT
U_c23ac7f498,O-1,RESIDENT,IN,PHONEPE,ISSUER_07,False,True,ON,2025-10-03,ELEVATED,0.524,0.248,0.172,0.022,True,True,False,OUT
U_cc67657053,O-5,RESIDENT,IN,PHONEPE,ISSUER_11,True,True,ON,2025-12-11,STD,0.243,0.067,0.285,-0.076,True,True,True,OUT
U_058c3338a3,O-4,RESIDENT,IN,GPAY,ISSUER_09,True,True,ON,2025-08-10,STD,0.894,-0.059,0.367,-0.128,False,True,False,OUT
U_935241c0df,O-6,RESIDENT,IN,GPAY,ISSUER_06,True,False,OFF,2026-05-19,STD,0.323,0.515,0.296,-0.098,True,True,True,OUT
U_84a218dfc3,O-2,RESIDENT,IN,GPAY,ISSUER_04,True,False,ON,2024-11-04,STD,0.326,0.147,0.133,0.026,True,True,False,OUT
U_1b83bdc328,O-2,RESIDENT,IN,PHONEPE,ISSUER_02,True,True,OFF,2025-10-06,STD,0.156,-0.113,0.496,-0.15,True,True,False,OUT
U_020f53a751,O-2,RESIDENT,IN,GPAY,ISSUER_02,True,True,OFF,2026-04-23,STD,0.764,0.194,0.067,-0.075,True,True,True,OUT
U_9c19236920,O-2,RESIDENT,IN,GPAY,ISSUER_08,True,True,OFF,2026-02-17,STD,0.375,0.223,0.361,-0.15,True,True,True,OUT
U_6248293760,O-1,RESIDENT,IN,GPAY,ISSUER_08,True,True,ON,2026-06-11,STD,0.386,-0.21,0.574,0.061,True,True,False,OUT
U_5f136b9a20,O-4,RESIDENT,IN,PHONEPE,ISSUER_11,True,False,OFF,2026-05-23,STD,0.399,-0.021,0.548,0.045,True,True,False,OUT
U_bcd2fc48f7,O-5,RESIDENT,IN,PHONEPE,ISSUER_06,True,True,OFF,2026-04-10,STD,0.315,0.153,0.083,0.106,True,False,False,OUT
U_0ab2159f49,O-1,RESIDENT,IN,GPAY,ISSUER_05,True,False,ON,2026-04-06,STD,0.256,0.164,0.272,-0.052,True,False,True,OUT
U_e5e6a9ad66,O-3,RESIDENT,IN,PHONEPE,ISSUER_03,True,True,OFF,2025-06-20,STD,0.199,0.07,0.415,-0.15,True,False,True,OUT
