psp_id,issuer_id,enabled,live_from
BHIM,ISSUER_01,True,2024-11-22
BHIM,ISSUER_02,False,2024-11-11
BHIM,ISSUER_03,False,2025-02-23
BHIM,ISSUER_04,False,2025-06-02
BHIM,ISSUER_05,False,2024-12-01
BHIM,ISSUER_06,False,2024-09-13
BHIM,ISSUER_07,True,2025-06-30
BHIM,ISSUER_08,True,2024-12-11
BHIM,ISSUER_09,True,2025-02-28
BHIM,ISSUER_10,False,2025-06-06
BHIM,ISSUER_11,True,2024-08-26
BHIM,ISSUER_12,False,2024-12-05
GPAY,ISSUER_01,True,2025-07-23
GPAY,ISSUER_02,False,2025-05-21
GPAY,ISSUER_03,True,2025-05-03
GPAY,ISSUER_04,True,2025-07-04
GPAY,ISSUER_05,True,2024-09-17
GPAY,ISSUER_06,False,2025-03-20
GPAY,ISSUER_07,False,2024-10-09
GPAY,ISSUER_08,True,2025-05-11
GPAY,ISSUER_09,True,2025-02-13
GPAY,ISSUER_10,True,2025-02-01
GPAY,ISSUER_11,False,2024-10-31
GPAY,ISSUER_12,True,2024-12-05
PHONEPE,ISSUER_01,True,2025-05-18
PHONEPE,ISSUER_02,False,2024-09-18
PHONEPE,ISSUER_03,False,2024-12-17
PHONEPE,ISSUER_04,True,2025-07-25
PHONEPE,ISSUER_05,True,2025-01-04
PHONEPE,ISSUER_06,False,2025-07-28
PHONEPE,ISSUER_07,True,2025-03-28
PHONEPE,ISSUER_08,False,2025-06-19
PHONEPE,ISSUER_09,True,2025-01-13
PHONEPE,ISSUER_10,False,2024-09-14
PHONEPE,ISSUER_11,False,2025-08-15
PHONEPE,ISSUER_12,True,2025-06-19
